gene_symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
Ltf	12.246813949814921	9.33180898074573	83.53378942729093	6.040229155858257e-13	7.191496832964841e-09	18.31778044757171
Plbd1	9.421708471300677	5.5465036763456395	61.12763428874304	7.129128380298909e-12	1.8045826139188814e-08	17.02136978006824
Camp	12.855437384273094	5.481223410680639	59.97864317135228	8.282075535620112e-12	1.8045826139188814e-08	16.90578184884674
Itgb2l	9.949514975148245	5.768432677658037	59.6495600417764	8.649963202950137e-12	1.8045826139188814e-08	16.96480563081635
Ngp	12.781258896405506	9.261310019729521	59.197122601021654	9.186171131382372e-12	1.8045826139188814e-08	16.861640837719793
S100a9	12.163471904240225	5.584253582313165	59.01074193037631	9.41786791879913e-12	1.8045826139188814e-08	16.85801294806084
Olfml2b	10.078411910926402	3.955521124180993	58.12710446397218	1.0609842346239014e-11	1.8045826139188814e-08	15.856547054588
Fgr	8.913342743967577	4.465815054028162	52.86309922334921	2.2452679038245015e-11	3.062729097278313e-08	15.80615050557013
Mmp9	8.548539912512695	5.450524976923154	52.30906697686123	2.4400153724363082e-11	3.062729097278313e-08	16.180940097444605
Cd33	6.49213625186958	5.800428252294261	51.96009008208588	2.5724249095231927e-11	3.062729097278313e-08	16.227376216441698
Chil3	10.432382081108422	10.035918861430545	50.80715545045861	3.0709269736035624e-11	3.323859686156728e-08	15.947389522784722
Pilra	7.3201407314898	4.256062808125803	48.544686838461374	4.399542437571673e-11	4.365079355144028e-08	15.267388069354459
Fcnb	7.395041871927374	7.615459345202263	46.3695340781835	6.316770770635562e-11	5.5557655612082524e-08	15.623475611849708
Syne1	5.2176596193033875	6.547996244778337	46.17221097034158	6.532900878289563e-11	5.5557655612082524e-08	15.601268057033293
Ceacam1	5.119496554864801	7.84657248113686	45.15945029643201	7.781916750716401e-11	6.176766722268632e-08	15.44575023823487
Hck	5.014684724558684	6.482442350421206	44.68842298973651	8.452845623596332e-11	6.289973749658621e-08	15.390094484832767
Lrg1	8.490845295051471	5.231037511539996	43.257527634610575	1.0926005243520491e-10	7.652059907609116e-08	15.01526595489453
Padi4	5.01129121418708	6.764546719633628	42.41901957177663	1.2749392761781431e-10	7.996006085390024e-08	15.058913725410166
Cd177	10.066421922155287	8.054850354749588	42.394001192205	1.280883237045889e-10	7.996006085390024e-08	15.027632984380876
Lcn2	9.958367340677611	7.13352191105756	42.13936206306414	1.3431893306551361e-10	7.996006085390024e-08	15.016130571613067
Adpgk	5.213975260562646	9.121616335868358	41.17102137851714	1.6133389038174536e-10	9.146863328024097e-08	14.773918832866823
S100a8	10.30124293806141	7.0345873284440055	40.78545114024043	1.7375357722444024e-10	9.403227683791752e-08	14.79791988079235
Itgam	5.761592359911405	7.932064606672129	38.88992234034807	2.5281145917253026e-10	1.2599271312515354e-07	14.454770176958831
B430306N03Rik	5.386089536707814	6.290813351360319	38.80700548797167	2.5709836634979563e-10	1.2599271312515354e-07	14.4425849340746
Gsn	6.250287968007326	7.1463458371942545	38.666382029977235	2.6455718361572636e-10	1.2599271312515354e-07	14.43268028915649
Syne2	5.401029253382006	5.789879497646503	38.472541807966984	2.752412945756966e-10	1.26039340508394e-07	14.346429892314761
Ampd3	4.879349402846215	5.336280205947142	38.244462216755515	2.884396389061623e-10	1.2719119780802847e-07	14.248511809616904
F5	5.105308836430502	5.413057399077987	37.86788110299803	3.118206264193989e-10	1.318770154264035e-07	14.19425498518259
Aldh3b1	4.453404093155282	6.705312098284527	37.725376298646694	3.212190028024275e-10	1.318770154264035e-07	14.260010362562783
Abca13	5.262899959381674	6.338473862765785	37.18720912266579	3.5970220161535913e-10	1.3548459588079373e-07	14.149643249858848
Rasgrp4	5.961137809092016	3.882260990661128	36.43971269978203	4.2206586965376983e-10	1.5227624982114496e-07	13.524512416920174
Glipr2	4.526632752125654	6.254666727144284	36.10685104942394	4.5368607269832094e-10	1.5887018769253558e-07	13.939042840695791
